nom,adresse,type,description,link
Restaurant L'EURASIE - Ankorondrano,"Face à l'hôtel Ibis - Ankorondrano, Antananarivo 101, Madagascar",Chinese restaurant,,https://www.facebook.com/RestaurantLEURASIEAntananarivoMadagascar/?locale=fr_FR
凤城 Soleil,"Lot IVK 89 bis Anosivavaka Ambohimanarina, Antananarivo 101, Madagascar",Chinese restaurant,,http://en.feinfood.com/restaurant/Madagascar/Antananarivo/Restaurant%20Villa%20Soleil%28%E5%87%A4%E5%9F%8E%E9%85%92%E5%AE%B6%29.xhtml
SSFOOD,"IVL 28e Anosivavaka, Antananarivo 101, Madagascar",Mandarin restaurant,,https://www.facebook.com/p/SS-FOOD-100063601912569/
CHEZ CHAN,"4GC3+F7M, Antananarivo, Madagascar",Restaurant,,https://www.facebook.com/people/Chez-Yaaron-Chan/100063788476010/
逸香酒樓 Yixiang Restaurant,"IVT 10, 4G48+V2P, Rue Docteur Joseph Raseta, Antananarivo, Madagascar",Dim sum restaurant,,https://www.facebook.com/100093252430583
DRAGON ROYAL Restaurant,"Rue Me Albertini, Antananarivo, Madagascar",Restaurant,,https://www.facebook.com/dragonroyalrestaurant/?locale=fr_FR
Marais Restaurant Madagascar,"Routes des Hydrocarbures, Immeuble Atrium Ankorondrano, 5è étage Antananarivo, 101, Madagascar",Haute French restaurant,,https://www.marais-restaurant.com/
Restaurant Lo&Ma,"III D 12, Antananarivo, Madagascar",Chinese restaurant,,https://www.facebook.com/people/Luuma-Restaurant/61561663910990/
La voie du Rossignol,"3GXH+QVR, Antananarivo 101, Madagascar",Chinese restaurant,,https://www.facebook.com/groups/471580383599381/posts/1758401774917229/
"DIMA Hirondelle ""燕子"" chinese food","4F5R+4P7, Andohatapenaka, Antananarivo, Madagascar",Hot pot restaurant,,https://www.facebook.com/p/Hirondelle-%E7%87%95%E5%AD%90-Chinese-FOOD-100070399024961/
Wai Man,"3GW6+VMX, Nord-Est-Coté parking, Antananarivo, Madagascar",Chinese restaurant,,https://www.facebook.com/p/Wai-Man-100076107523308/
Sweet Talk by Coq d'Or (Boutique),"4F5R+2V3, Andohatapenaka, Antananarivo, Madagascar",Chinese restaurant,,https://www.facebook.com/sweettalkmada/?locale=fr_FR
Le Grand Orient,"Rue Andriantsihoarana Ratsimbazafy, Antananarivo 101, Madagascar",Chinese restaurant,,https://www.tripadvisor.fr/Restaurant_Review-g293809-d8560659-Reviews-Le_Grand_Orient-Antananarivo_Antananarivo_Province.html
Zen Garden,"II M 38 F Androhibe Antananarivo Antananarivo, 101, Madagascar",Chinese restaurant,,https://www.facebook.com/ZenGardenMada/?locale=fr_FR
吕府私房菜（KTV）,"Madagascar, Antananarivo, AUTOREX, Amitie Fandian",Chinese restaurant,,
L'Oriental Ivandry,"Ivandry Ambodivoanjo lot II I 161, Antananarivo 101, Madagascar",Lebanese restaurant,,https://www.tripadvisor.fr/Restaurant_Review-g293809-d4745128-Reviews-L_Oriental-Antananarivo_Antananarivo_Province.html
Restaurant Fong Mei,"4GHM+JMX, Rue Andriantsihoarana Ratsimbazafy, Antananarivo, Madagascar",Chinese restaurant,,https://www.top-rated.online/cities/Antananarivo/place/p/13673108/Restaurant+Fong+Mei
Restaurant Lo & Ma,"4G38+MRH, Rue Ampanjaka Toera, Antananarivo, Madagascar",Chinese restaurant,,https://www.tripadvisor.fr/Restaurants-g293809-Antananarivo_Antananarivo_Province.html
Dun Huang,"42 Arabe Andrinampoinimerina, Antananarivo 101, Madagascar",Chinese restaurant,,https://fr.madayp.com/company/6155/Restaurant_Dun_Huang
Chez Maxime,"4GH9+V9C, Antananarivo, Madagascar",Restaurant,,https://www.tripadvisor.fr/Restaurant_Review-g293809-d6557080-Reviews-Chez_Maxime-Antananarivo_Antananarivo_Province.html
